Document,Page,Category,Confidence,Description,Quote,Entities,Has Relationship
104-10332-10022,2,CIA_FBI_ACTIVITIES,7,"Document refers to CIA collecting information for Review Board, with focus on specific high-priority issues related to Oswald and CIA files",CIA has collected information responsive to this request for Review Board action. The ARRB staff has identified records that it believes will enhance the,CIA,No
104-10332-10022,2,OSWALD_ASSOCIATIONS,6,Mention of Oswald-related files among six high-priority issues,Six issues are: CIA-7 (Histories); CIA-16 (Oswald Pre-assassination files); personnel assigned to a designated post,CIA,No
104-10332-10022,4,CIA_RECORDS_MANAGEMENT,7,Document details CIA's ongoing process of reviewing and releasing historical records related to JFK assassination timeframe,"The Review Board first made this request on September 11, 1995. On September 11, 1995, CIA agreed to make these materials available by December, 1995.",CIA,No
104-10332-10022,4,HISTORICAL_RECORDS_GAPS,6,Acknowledgment of missing or unlocated CIA cables and dispatches,"We are aware that many of the cables requested are already in the JFK files, but not all are included.",CIA,No
104-10332-10022,5,CIA_FBI_ACTIVITIES,7,CIA requesting and reviewing materials related to JFK collection,CIA has been tasked to locate the additional publications that have been requested.,CIA,No
104-10332-10022,6,OSWALD_ASSOCIATIONS,7,Reference to Oswald Pre-Assassination Files being reviewed by CIA Office of Security,CIA-16 Oswald Pre-Assassination Files. The HRG reportedly received a lengthy answer from the Office of Security on the LIHO files and a formal response to the Review Board's request is in process.,CIA,No
104-10332-10022,6,CIA_FBI_ACTIVITIES,6,Multiple CIA document requests related to Mexico City communications and station reports,CIA-13 Mexico City Backchannel Communications. CIA-14 Mexico City Station Annual Reports.,CIA|Mexico City,No
104-10332-10022,7,CIA_INTERNAL_OPERATIONS,8,"Investigation into CIA personnel assigned between 1959-1964, potentially related to Oswald period",**CIA-IR-01 Personnel assigned to post from 1959-64 (see RIF 104-10065-10199).,CIA,No
104-10332-10022,7,OSWALD_ASSOCIATIONS,7,Reference to files related to James Angleton and potential Oswald connections,The Review Board seeks to ensure that it has taken all reasonable steps to account for any files that James Angleton possessed or controlled that related to the assassination and to Lee Harvey Oswald.,Lee Harvey Oswald|CIA,No
104-10332-10022,7,CIA_DOCUMENT_SEARCH,9,Comprehensive search of HTLINGUAL file documents,CIA should undertake a computer run for all HTLINGUAL documents. All computer searches for these documents should be documented in a formal letter for the record.,CIA,No
104-10332-10022,8,OSWALD_ASSOCIATIONS,7,CIA seeking records related to Oswald,"CIA was informally requested, more than two years ago, to use its contacts to pursue certain records related to Oswald that were orally described to CIA.",CIA,No
104-10332-10022,8,CIA_FBI_ACTIVITIES,6,Review Board investigating CIA's handling of Oswald-related information,"The Review Board believed that, for reasons of security classification of information, it would be appropriate for CIA to make the initial inquiries rather than the Review Board.",CIA,No
104-10332-10022,9,CIA_INTERNAL_INVESTIGATION,8,CIA Review Board investigating multiple aspects of CIA's records related to JFK assassination,CIA is now checking whether the search query included George Herbert Walker Bush prior to 1970,CIA,No
104-10332-10022,9,OSWALD_ASSOCIATIONS,7,CIA examining its records on Oswald's handling and documentation,CIA will determine whether the IG's office maintains an index or inventory of its reports and determine whether the IG's office prepared a report on the handling of Oswald,CIA,No
104-10332-10022,9,WARREN_COMMISSION_CRITICS,6,CIA investigating files on known Warren Commission critics,"We are asking that CIA determine whether it possesses any files or records on Warren Commission critics Edward J. Epstein, Josiah Thompson, Mark Lane, Harold Weisberg, or Sylvia Meagher",CIA|Warren Commission,No
104-10332-10022,10,CIA_FBI_ACTIVITIES,7,CIA Review Board investigating surveillance of Oswald in Mexico City,The Review Board has for some time been attempting to determine whether it has had access to all of CIA's surveillance 'take' from the Cuban and Soviet facilities in Mexico City at the time of Oswals visit,CIA|Soviet|Mexico City,No
104-10332-10022,10,SURVEILLANCE_RECORDS,6,Searching for additional surveillance records of Oswald,"On numerous occasions, the Review Board has asked whether there was any surveillance take in addition to what is currently in the collection.",,No
104-10332-10022,1,CIA_JFK_COLLECTION,9,Detailed breakdown of JFK assassination records collection,The Agency's JFK records collection is made up primarily of records pulled together for the Warren Commission and House Select Committee on Assassinations (HSCA).,Warren Commission,No
104-10332-10022,1,OSWALD_ASSOCIATIONS,8,Records include files related to Oswald and assassination investigation,"Some records within the Agency's JFK collection are assassination specific, others are ancillary. They deal with individual and events not directly linked with Oswald or the assassination; but are thought to have had a relationship to the assassination or investigation into the assassination.",,No
104-10332-10022,1,MICROFILM_CONTENTS,7,Detailed breakdown of microfilm collection contents,"The microfilm includes: 201 files on Cubans, Americans, and Soviets linked to Oswald, the JFK assassination or the various investigations",,No
104-10332-10022,1,OSWALD_ASSOCIATIONS,7,Document references JFK assassination investigations involving Oswald,We continue to identify other collections of documents that properly belong within the JFK collection. These include: The Oswald Security File,,No
104-10332-10022,1,CIA_FBI_ACTIVITIES,8,Multiple official investigations of assassination documented,Agency working files generated by JFK assassination investigation and requests and CIA documents found by other agencies and Presidential Libraries,CIA,No
104-10332-10022,1,FOREIGN_GOVERNMENT_REACTIONS,6,CIA stations in multiple cities related to Oswald's potential international connections,"Moscow Station, Mexico City Station, JMWAVE Station, and CIA stations in those cities through which Oswald passed on his way to and from the Soviet Union",CIA|Soviet|Mexico City,No
104-10332-10022,1,OSWALD_ASSOCIATIONS,7,Document lists key figures potentially connected to Oswald,"Cuban exile anti-Castro activities, 1960-64, if they involve JFK figures",,No
104-10332-10022,1,CIA_FBI_ACTIVITIES,8,Document is a CIA internal memo about anti-Cuban operations,"CIA anti-Cuban operations 1960-64 (Mongoose, etc.)",CIA,No
104-10332-10022,1,KEY_FIGURES,9,Extensive list of potentially relevant individuals,"Key figures include: Howard Hunt (CIA employee), David Phillips (CIA employee), Richard Snyder (State Department Mexico City)",CIA|Mexico City,No
104-10332-10022,1,OSWALD_ASSOCIATIONS,8,Detailed chronology of Oswald's movements from 1956-1963,"Joins Marines, Arrives Atsugi (U2 Base) Japan, Returns to US, Hardship discharge, Departs New Orleans for Moscow",New Orleans,No
104-10332-10022,1,TRAVEL_FINANCIAL_RECORDS,9,Extensive travel log including international movements,"Departs New Orleans for Moscow via LeHavre, London, Helsinki, Arrives Moscow, Resides in Minsk, Departs Moscow via train",Soviet|New Orleans,No
104-10332-10022,1,FOREIGN_GOVERNMENT_REACTIONS,7,Chronology of Oswald's time in Soviet Union and subsequent locations,"Arrives Moscow 10/16/59, Resides in Minsk 01/07/60 - 06/62",Soviet,No
104-10332-10022,1,CIA_FBI_ACTIVITIES,7,"Document is a draft communication from Assassination Records Review Board to CIA, discussing review and release of assassination records",The Assassination Records Review Board ('Review Board') has less than one year to complete its statutory responsibility of ensuring that all Federal records related to the assassination of President Kennedy are made publicly available,CIA,No
104-10332-10022,1,INTERNAL_GOVT_COMMUNICATIONS,6,Communication indicates potential sensitivity around CIA record processing,"Unfortunately, it is clear at this point that the pace of review of CIA records will need to increase significantly during this final year",CIA,No
104-10332-10022,2,CIA_FBI_ACTIVITIES,7,Document discusses JFK Act requirements for CIA to review and transfer assassination records to NARA by September 1998,"The JFK Act in many ways imposed difficult obligations. For example, it required the CIA (and other agencies) to complete its review and transfer of records to NARA within 300 days of the time the statute was enacted in 1993.",CIA,No
104-10332-10022,2,INTERNAL_GOVT_COMMUNICATIONS,6,"Review Board tracking CIA's progress on record review, requiring monthly updates to Congress","The Review Board also is obligated to keep Congress informed, on a monthly basis, of the steps it has taken to ensure completion of this goal.",CIA,No
104-10332-10022,1,CIA_FBI_ACTIVITIES,7,CIA compliance document for JFK Assassination Records Collection Act,Submission of CIA's Initial Statement of Compliance Under the JFK Assassination Records Collection Act,CIA,No
104-10332-10022,1,INTERNAL_GOVT_COMMUNICATIONS,7,CIA Assassination Records Review Board document discussing initial compliance statement about JFK assassination records,"CIA Initial Compliance Statement To Be Submitted Under the JFK Assassination Records Collection Act, 44 U.S.C. § 2107",CIA,No
104-10332-10022,1,CIA_FBI_ACTIVITIES,6,CIA acknowledging ongoing process of searching and documenting JFK assassination records,extremely helpful in articulating what the CIA has done to-search for records on the JFK assassination,CIA,No
104-10332-10022,2,CIA_ACTIVITIES,7,CIA preparing official Statement of Compliance for JFK Assassination Records Review Board,"Therefore, please submit the CIA's official initial Statement of Compliance to the Review Board as soon as possible, but no later than March 16, 1998.",CIA,No
104-10332-10022,2,DOCUMENT_TRANSPARENCY,8,CIA acknowledging responsibility to provide comprehensive records about JFK assassination,"the Final Declaration will constitute the CIA's representation to the American public, under oath, that the CIA has diligently searched for records relating to the JFK assassination and that the CIA is not withholding any materials regarding the assassination.",CIA,No
104-10332-10022,1,PUBLICATION_CONTEXT,8,"Document describes 'Studies', an independent scholastic publication focused on intelligence literature","Studies is an independent, scholastic endeavor with the mission to promote scholarship in intelligence literature.",,No
104-10332-10022,1,DOCUMENT_CHARACTERIZATION,8,Document appears to be a signed statement about 'Studies in Intelligence' publication,"while 'Studies in Intelligence' is published under the auspices of the United States Government, it is neither an expression of official information nor an official release of official Executive Branch information, but rather a forum for the private academic expressions of the authors",,No
104-10332-10022,1,CIA_FBI_ACTIVITIES,8,CIA conducting initial searches of records related to Oswald and JFK assassination before official ARRB process,"In early 1992, even before the Act was passed, the Chief of the CIA History Staff reported to the Director that the staff had located all of the so-called 'sequestered collection'",CIA,No
104-10332-10022,1,OSWALD_ASSOCIATIONS,7,Explicit mention of collecting Oswald-related documents,sixty-four record center-size boxes... sixteen boxes of Lee Oswald's 201 file,Lee Harvey Oswald|CIA,No
104-10332-10022,2,REQUESTS_FOR_RECORDS,7,Extensive document collection process for JFK assassination records,than 31 additional boxes of materials being sent for review. Included within this material were 19 boxes of JFK working files based on the sequestered collection,,No
104-10332-10022,2,COLLECTION_DETAILS,8,Multiple sources of JFK-related materials being processed,"two boxes on Nosenko, seven boxes of FBI division documents and three boxes from the Bay of Pigs period",FBI,No
104-10332-10022,2,AGENCY_ACTIVITIES,6,Extensive review process by ARRB (Assassination Records Review Board),"To date, the ARRB staff has designated approximately 22 boxes of this material as assassination records",,No
104-10332-10022,3,CIA_FBI_ACTIVITIES,7,Document discusses Agency (CIA) searches and reviews of materials related to the Oswald assassination file,ARRB staff has asked various elements of the Agency to conduct special searches for other materials thought to be relevant to the assassination story.,CIA,No
104-10332-10022,3,OSWALD_ASSOCIATIONS,6,Reference to searching files related to Oswald security file,"Included in this category was the Oswald security file, which was found and has been examined by the ARRB staff.",,No
104-10332-10022,1,CIA_FBI_ACTIVITIES,7,Document reveals ongoing CIA search for assassination-related records not found in previous 1993 search,"Since that date, however, we have identified at least three examples of records clearly relevant to the assassination that have been identified through the efforts of the Review Board staff and that were subsequently located by CIA.",CIA,No
104-10332-10022,1,INTERNAL_GOVT_COMMUNICATIONS,6,Assassination Records Review Board requesting comprehensive search of CIA records,"In order to comply with the strictures of the JFK Act and to ensure that all original CIA records relevant to the assassination are identified, the Review Board requests the following:",CIA,No
104-10332-10022,2,CIA_FBI_ACTIVITIES,7,CIA Director George Tenet directive to search and notify about assassination-related records,CIA Director George Tenet send a directive to all CIA personnel that explicitly requires all offices to search their files and notify the Historical Review Program immediately if they have any records that might possibly be considered relevant to the assassination—including any records created after 1992.,CIA,No
104-10332-10022,2,INTERNAL_GOVT_COMMUNICATIONS,6,Communication from Assassination Records Review Board to CIA requesting comprehensive record search,We are particularly interested in any records that CIA acquired on these subjects since the original files were sequestered in 1978.,CIA,No
104-10332-10022,1,CIA_FBI_ACTIVITIES,7,CIA compliance document for JFK Assassination Records Collection Act of 1992,CIA Compliance With the JFK Assassination Records Collection Act of 1992,CIA,No
104-10332-10022,1,GOVT_INTERNAL_COMMUNICATIONS,8,Formal communication from Assassination Records Review Board to CIA General Counsel,I am writing to address the completion of CIA's outstanding obligations under the President John F. Kennedy Assassination Records Collection Act of 1992,CIA,No
104-10332-10022,2,OSWALD_ASSOCIATIONS,8,Multiple references to Lee Harvey Oswald's files being processed and placed in the JFK Collection,Lee Harvey Oswold's 201 File. CIA has placed this file into the JFK Collection.,Lee Harvey Oswald|CIA,No
104-10332-10022,2,CIA_FBI_ACTIVITIES,7,CIA-HSCA Sequestered Collection involves multiple document sets being processed and reviewed,Non-duplicate documents within the hardcopy set of the CIA-House Select Committee on Assassinations ('HSCA') Sequestered Collection,CIA,No
104-10332-10022,3,CIA_ACTIVITIES,8,Collection of non-duplicate CIA documents related to Kennedy assassination,Non-duplicate documents within Kennedy assassination working files of CIA officer Russ Holmes (19 boxes),CIA,No
104-10332-10022,3,OSWALD_ASSOCIATIONS,7,Oswald-related documents from CIA defector file,Oswald-related documents from the a general defector file maintained by the CIA's Office of Security [CIA-IR-24],CIA,No
104-10332-10022,3,CIA_INTERNAL_RECORDS,9,Comprehensive collection of CIA organizational materials and historical documents,"CIA organizational materials, including the JMWAVE organizational chart",CIA,No
104-10332-10022,4,CIA_FBI_ACTIVITIES,8,"Detailed record of CIA files related to assassination records, including files on key figures like Jack Ruby, Walter Sheridan, and others","Designated records from security files of Jack Ruby, Walter Sheridan, Harold Weisberg, Richard Case Nagel, and Gordon Novel [CIA-IR-27]",Jack Ruby|CIA,No
104-10332-10022,4,CIA_FBI_ACTIVITIES,7,Specific reference to Mexico City surveillance tapes covering period around JFK assassination,"Mexico City Tapes [CIA-IR-15] - audio surveillance of 'Soviet bloc' and Cuban facilities from November 22, 1963 through early January 1964",CIA|Soviet|Mexico City,No
104-10332-10022,4,DOCUMENT_PROCESSING,6,Ongoing document review and processing of assassination-related materials,CIA has since been forwarding more open versions of certain documents in light of Review Board decisions,CIA,No
104-10332-10022,5,CIA_ACTIVITIES,8,Discussion of processing CIA officer Russ Holmes' working files related to Kennedy assassination,Collection (consisting of CIA officer Russ Holmes' working files relating to the Kennedy assassination) into the JFK Collection,CIA,No
104-10332-10022,5,DOCUMENT_MANAGEMENT,7,CIA committed to placing Holmes files into JFK Collection by September 1998,CIA has committed to placing into the JFK Collection... all documents from the Holmes files not found elsewhere in the CIA materials at NARA,CIA,No
104-10332-10022,5,RECORDS_RELEASE,9,CIA postponed release of certain assassination records until 2017,"We have discussed with CIA its concerns regarding physical custody of certain records whose release has been postponed, under the JFK Act, until 2017",CIA,No
104-10332-10022,6,OSWALD_ASSOCIATIONS,7,Multiple CIA responses related to Oswald records pending,Accounting of Pre-Assassination Files on Oswald (partial response received) [CIA-16],CIA,No
104-10332-10022,6,CIA_FBI_ACTIVITIES,8,Comprehensive list of CIA response requests about Oswald and assassination-related files,We have identified certain Review Board requests for additional information (both formal and informal) for which responses are still due from CIA.,CIA,No
104-10332-10022,7,CIA_INTERNAL_PROCESS,8,CIA reviewing and declassifying records related to Kennedy assassination,"Besides CIA records, CIA is continuing to review its equities in other records, including Church Committee records and records from the Presidential libraries.",CIA,No
104-10332-10022,7,OSWALD_ASSOCIATIONS,7,CIA preparing final declaration about Oswald-related records,CIA's Final Declaration of Compliance will constitute its public statement... that (1) CIA has located and disclosed all records relating to Lee Harvey Oswald and the assassination of President Kennedy that it could identify,Lee Harvey Oswald|CIA,No
104-10332-10022,7,DOCUMENT_RESTRICTION,6,Rockefeller Commission records remain closed until 2001,Library of Congress has a set of closed Rockefeller Commission records in its Manuscript Division that may require CIA review and declassification. It is our understanding that these records are closed until 2001,CIA,No
104-10332-10022,8,CIA_FBI_ACTIVITIES,7,Document discusses CIA's ongoing searches for assassination records related to Lee Harvey Oswald,"We consider it essential that CIA describe with more specificity the searches that it conducted for records relating to Lee Harvey Oswald and to the JFK assassination, including searches done by CIA in the early 1990's.",Lee Harvey Oswald|CIA,No
104-10332-10022,9,OSWALD_ASSOCIATIONS,8,Document references Oswald's telephone conversations with Cuban Consulate and Soviet Embassy in Mexico City,Oswald telephone conversations with the Cuban Consulate and Soviet Embassy in Mexico City,Soviet|Mexico City,No
104-10332-10022,9,CIA_FBI_ACTIVITIES,9,CIA reported original surveillance tapes of Oswald's phone calls were destroyed,"CIA has reported that the original surveillance tapes that recorded the Oswald telephone conversations were destroyed, and that CIA has no copies of these audio recordings.",CIA,No
104-10332-10022,9,SURVEILLANCE_RECORDS,7,Mexico City CIA files potentially containing surveillance information,CIA apparently has preserved certain recordings from Mexico City that post-date the assassination,CIA|Mexico City,No
104-10332-10022,10,CIA_FBI_ACTIVITIES,8,"Request for accounting of CIA files related to James Angleton and Win Scott, specifically assassination-related materials",We previously requested an accounting for the files of former Counter-Intelligence Chief James Angleton [CIA-IR-04] in view of the fact that no discrete files of Mr. Angleton had been identified under the JFK Act.,CIA,No
104-10332-10022,10,DOCUMENT_PRESERVATION,9,Acknowledgment of missing or destroyed records around the time of the assassination,Records around the time of the assassination) are identified on an index as missing or destroyed.,,No
104-10332-10022,10,CIA_INVESTIGATION_TRANSPARENCY,7,Request for CIA to identify all destroyed or removed records related to Oswald and Kennedy assassination,The Final Declaration should identify any other records relating to Oswald or the assassination that CIA knows to have been destroyed or removed from CIA files.,CIA,No
104-10332-10022,11,CIA_FBI_ACTIVITIES,7,CIA acknowledging ongoing document processing related to Lee Harvey Oswald assassination files,"As part of its overall representation, we request that CIA attach to the Final Declaration its complete formal response to the Review Board's request for an accounting of all pre-assassination files that CIA had on Lee Harvey Oswald [CIA-16].",Lee Harvey Oswald|CIA,No
104-10332-10022,11,GOVT_TRANSPARENCY,8,Request for CIA to make Final Declaration under penalty of perjury,CIA's Final Declaration should be made under penalty of perjury,CIA,No
104-10332-10022,11,DOCUMENT_RELEASE_TIMELINE,6,Planned phased release of duplicate and postponed records,"CIA will undertake certain actions, after September 1998, to continue release of duplicate records and to release postponed records in 2017",CIA,No
104-10332-10022,1,CIA_ACTIVITIES,7,CIA Special Collections Release document about JFK Assassination Records Review Board compliance,"In a 15 July 1998 memo to CIA General Counsel, the JFK Assassination Records Review Board outlined what it expects will be contained in CIA's Final Declaration of Compliance",CIA,No
104-10332-10022,1,OSWALD_ASSOCIATIONS,6,CIA components required to inventory holdings related to Oswald,Confirmation that relevant components inventoried their holdings for the relevant time periods for records on Oswald or the assassination,CIA,No
104-10332-10022,1,RECORD_PRESERVATION,8,"Specific instructions to account for record groups, including potential destruction","Account for Certain Important Record Groups, include, any destruction of Ass. Records",,No
104-10332-10022,1,CIA_INTERNAL_INVESTIGATION,8,CIA documenting internal review of assassination records and potential missing files,Explain missing McCone files relating to the time of the assassination,CIA,No
104-10332-10022,1,OSWALD_ASSOCIATIONS,7,Investigating CIA's knowledge of Oswald-related records,Identify any other records relating to Oswald/assassination that CIA knows to have been destroyed or removed from CIA holdings,CIA,No
104-10332-10022,1,AGENCY_TRANSPARENCY,9,CIA preparing formal statement about withheld assassination records,Statement that CIA is Aware of No Records on Oswald/Assassination Being Withheld from the Public,CIA,No
104-10332-10022,1,SEARCH_TERMS,10,Comprehensive list of search terms related to JFK assassination investigation,"Search Terms: Lee Harvey Oswald, Harvey Lee Oswald, Marina Oswald, Jack Ruby, Exaction, Executive Action, Assassination, President Kennedy, John F. Kennedy, Kennedy Assassination, JFK, JFK Assassination, Presidential Threats, Threats to U.S. President, GPIFLOOR, GPIDEAL, Assassination Attempts, Warren Commission, HSCA, House Select Committee on Assassinations",Lee Harvey Oswald|Jack Ruby|Warren Commission,No
104-10332-10022,1,CIA_FBI_ACTIVITIES,7,CIA internal directive for final document search related to JFK assassination records,Final Document Search to Assure Compliance with 'President John F. Kennedy Assassination Records Collection Act of 1992' (JFK Act),CIA,No
104-10332-10022,1,CIA_FBI_ACTIVITIES,7,CIA document discussing records review of JFK assassination,"as the Review Board enters its final stages of the review and release of records pertaining to President Kennedy's assassination, you will continue to have CIA's full cooperation.",CIA,No
104-10332-10022,1,INTERNAL_GOVT_COMMUNICATIONS,6,Communication between CIA General Counsel and Assassination Records Review Board,I am in receipt of the 15 July 1998 letter from former General Counsel Jeremy Gunn,CIA,No
104-10332-10022,1,CIA_FBI_ACTIVITIES,7,CIA's official compliance document for JFK Assassination Records Collection Act,CIA has conducted a thorough search for records relating to President Kennedy's assassination,CIA,No
104-10332-10022,1,INTERNAL_GOVT_COMMUNICATIONS,6,Formal communication between Assassination Records Review Board and CIA General Counsel,The Review Board specifically considered your proposal that the certifying official be a records validation officer appointed by the CIA's Executive Director,CIA,No
104-10332-10022,1,INTERNAL_GOVT_COMMUNICATIONS,6,CIA Executive Secretariat routing slip related to JFK Assassination Records Review Board,"The JFK Assassination Records Review Board has received the Agency's Final Declaration of Compliance. The Board is requesting certifications by the individual directorates, as well as the office of the DCI, or alternatively that the EXDIR and the General Counsel certify that CIA has met its obligations under the JFK Act",CIA,No
104-10332-10022,1,CIA_FBI_ACTIVITIES,8,CIA's uncooperative response to JFK Assassination Records Collection Act of 1992,"The CIA refused to submit separate certifications, insisting it was their practice for one official to speak on behalf of the entire agency.",CIA,No
104-10332-10022,1,INTERNAL_GOVT_COMMUNICATIONS,7,Formal communication from Assassination Records Review Board to CIA Director,We are disappointed that CIA has been unwilling to have the most senior officials of your agency attest to CIA's compliance with the JFK Act.,CIA,No
104-10332-10022,2,OSWALD_ASSOCIATIONS,7,Reference to records related to Lee Harvey Oswald discovered in CIA Directorate of Operations files,"In fact, the Directorate of Operations only recently uncovered additional records relating to Lee and Marina Oswald.",Lee Harvey Oswald|CIA,No
104-10332-10022,2,CIA_FBI_ACTIVITIES,8,Review Board requesting extensive documentation and certification from CIA about Oswald assassination records,"the Review Board specifically requests that CIA submit certifications by the individual directorates, as well as the office of the DCI",CIA,No
104-10332-10022,2,INTERNAL_GOVT_COMMUNICATIONS,6,Formal request for CIA to provide comprehensive documentation about assassination records,The Board considers depositions of senior Agency officials to be absolutely necessary.,CIA,No
104-10332-10022,1,CIA_FBI_ACTIVITIES,7,Document relates to CIA compliance with JFK Assassination Records Collection Act of 1992,CIA Compliance With the JFK Assassination Records Collection Act of 1992,CIA,No
104-10332-10022,1,INTERNAL_GOVT_COMMUNICATIONS,6,"Official communication between Assassination Records Review Board, CIA General Counsel, and National Archives","The Review Board considers it essential that certain remaining obligations of the CIA under the President John F. Kennedy Assassination Records Collection Act of 1992 be identified and memorialized before the Board ceases operations on September 30, 1998",CIA,No
104-10332-10022,2,CIA_FBI_ACTIVITIES,7,"CIA surveillance of Soviet and Cuban diplomatic facilities in Mexico City from Nov 22, 1963 to Jan 1964","audio tapes, and any transcriptions or summaries made by the CIA, from surveillance of certain Soviet and Cuban diplomatic facilities in Mexico City for the period November 22, 1963 to January 1964",CIA|Soviet|Mexico City,No
104-10332-10022,2,INTERNAL_GOVT_COMMUNICATIONS,6,CIA working files compiled in anticipation of JFK Act passage,"Working files from the DCI area, mostly from DCI's Executive Registry, that had been compiled in anticipation of passage of the JFK Act",CIA,No
104-10332-10022,3,CIA_ACTIVITIES,8,Document details CIA's plans to review and release documents related to JFK assassination,"The CIA will complete its review and recommendations for release of the major record categories listed above no later than April 30, 1999.",CIA,No
104-10332-10022,3,OSWALD_ASSOCIATIONS,7,Multiple references to Oswald's files and records being processed,"all postponed records from Lee Harvey Oswald's 201 file, Office of Security file, and 'A' file",Lee Harvey Oswald|CIA,No
104-10332-10022,4,CIA_DOCUMENT_HANDLING,8,"CIA agreement to transfer assassination-related materials to NARA by October 26, 2017","These hard copy materials will be physically retained by the CIA and then forwarded to the JFK Collection for public release by October 26, 2017.",CIA,No
104-10332-10022,4,COLLECTION_CONTENTS,7,Materials include CIA work files related to Yuri Nosenko and Russ Holmes collection,These NBR materials are: certain files contained within the CIA-HSCA sequestered collection; certain CIA work files relating to Yuri Nosenko (but not related to the assassination),CIA,No
104-10195-10002,1,PERSONNEL_RECORD,7,Secret personnel action notification for a CIA officer,,CIA,No
104-10195-10002,1,LOCATION,8,"Assigned to Paris, France","PARIS, FRANCE",CIA,No
104-10195-10002,1,PERSONNEL_DETAILS,6,"Personnel record for Casasin, Thomas B","CASASIN, THOMAS B",CIA,No
104-10195-10002,1,ADMINISTRATIVE_DOCUMENT,8,Secret personnel action notification form for a CIA/military personnel record,NOTIFICATION OF PERSONNEL ACTION,CIA,No
104-10195-10002,1,LOCATION_CONTEXT,7,"Personnel location noted as Paris, France","PARIS, FRANCE",,No
104-10195-10002,1,ADMINISTRATIVE_DOCUMENT,7,Secret personnel action document for a government employee,,,No
104-10195-10002,1,CIA_OPERATIONS,7,Routing slip for request related to independent contractor Thomas R. CASSIN,"Recommend AD/Ters approval (albeit retroactively) of the attached request from the Chief, ER Division to extend the NOC for Thomas R. CASSIN (P) as an independent contractor without compensation beginning 1 July 1975",CIA,No
104-10195-10002,1,PERSONNEL_MOVEMENT,6,Career details of Thomas R. CASSIN,"Retired under CHARIS CS June 1974 as a GS-15 (Step 10) career associate, on 24 June 1974, D/Pers approved a request to engage his as an independent contractor for a one-year period beginning 1 July 1974 at an annual fee of $5,000",,No
104-10195-10002,1,ADMINISTRATIVE_DOCUMENT,8,"Confidential status report about an unnamed subject, likely related to CIA/intelligence personnel",The attached Memorandum in lieu of a Fitness Report should be read in conjunction with NOC Status Report on Subject,CIA,No
104-10195-10002,1,ADMINISTRATIVE_DOCUMENT,7,Financial calculation document for Thomas B. Casasin,Thomas B. CASASIN   65-150°,,No
104-10195-10002,2,UNRELATED_CIA_PERSONNEL_DOCUMENT,8,Secret document about employing Thomas B. CASASIN as an Independent Contractor,It is requested that approval be granted to employ Thomas B. CASASIN (P) as an Independent Contractor.,CIA,No
104-10195-10002,1,ADMINISTRATIVE_DOCUMENT,8,Secret amendment to allowance committee document for Thomas B. Cassain,SECRET - AMENDMENT TO ALL-WAVES LEAVE ADDENDUM,,No
104-10195-10002,1,ADMIN_FINANCE,6,Confidential administrative message about cover pay statements and refund,LATEST COVER PAY STATEMENTS INDICATE INCREASE ALLOWANCE OF 920L0-67 PER MONTH MADE IN FEB OR MARCH 73,,No
104-10195-10002,1,INTERNAL_GOVT_COMMUNICATIONS,6,Memorandum for Official Personnel File regarding publications by Jacques Richardson,Studies in Intelligence is the Agency's quarterly professional journal,CIA,No
104-10195-10002,1,DOCUMENT_METADATA,9,Document appears to be a personnel or communication record,Thomas B. Casasin,,No
104-10195-10002,1,TIMELINE,8,Date range of document entries,"15 NOV 72, 1 JAN 73",,No
104-10195-10002,1,AGENCY_ACTIVITY,7,Mentions 'Career Agent' and 'KPI' action,"Action: Career Agent, KPI",,No
104-10195-10002,1,ADMINISTRATIVE_DOCUMENT,8,"Secret administrative assignment document, appears to be a personnel transfer or extension request form",SECRET - Personnel Assignment Document,,No
104-10195-10002,1,INTERNAL_GOVT_COMMUNICATIONS,7,Confidential personnel report discussing an unidentified subject's job performance and interactions with Soviet officials,Subject uses his position to spot and assess co-workers having access to Station targets,Soviet,No
104-10195-10002,1,CIA_FBI_ACTIVITIES,6,Detailed personnel evaluation with focus on intelligence-related job responsibilities,Daily contact with numerous Soviet officials and by skillful use of his cover job he connotes logical reasons for contacting Chinese officials,Soviet,No
104-10195-10002,1,ADMINISTRATIVE_DOCUMENT,8,Secret memorandum from Contract Personnel Division dated 1 August 1972,"NOTE: Subject converted from Staff Agent status to Career Agent status effective 15 May 1972, this should be placed in his terminated Staff Agent file.",CIA,No
104-10195-10002,1,ADMINISTRATIVE_DOCUMENT,8,Secret memorandum about Thomas B. Casasin's employment contract,Thomas B. CASASIN (P) has been employed under an Agency personal services contract effective 15 May 1972,,No
104-10195-10002,1,DOCUMENT_TYPE,10,Secret classified intelligence report document,SECRET,,No
104-10195-10002,1,SUBJECT_ASSESSMENT,8,Scientific publication professional working with cover job,Subject's job was with a scientific publication. He was hired at a professional level with a salary that will offset approximately 40% of the total cost of his activity.,,No
104-10195-10002,1,OPERATIONAL_SECURITY,9,Strong operational security assessment,Subject's operational security is good and all indications are that his cover security is superb.,,No
104-10195-10002,1,INTERNAL_GOVT_COMMUNICATIONS,7,Confidential personnel review of a NOC (Non-Official Cover) officer,"The career of this NOC officer has reached a crucial juncture; if, as we currently anticipate, he succeeds in landing the position for which he appears to have the inside track, he will gain access to an institution and its employees which could prove to be invaluable.",,No
